,Country,Social TF Programs,Wealth-ranking,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Region,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
268,Montenegro,0,2,2011,5.223116875,9.757734299,0.817631543,66.27999878,0.546081364,-0.227756679,0.762383521,0.509750843,0.378120005,,Rest of Europe,5.1,6.1,110.706,9.02,91,97,26.1,95,95,0.03,6169,0.62,1.9,2,11.1,0,1,76
360,Sri Lanka,1,2,2013,4.364694118,9.304747581,0.809175253,65.63999939,0.834020317,0.267049938,0.842013538,0.775873661,0.20812951,0.750018179,Asia,8.4,9.8,113.3855,2.65,99,99,22.8,99,99,0.01,3553,20.59,15.2,15.1,10.9,0,1,76
27,Bahrain,0,1,2010,5.936869144,10.70548439,0.877115071,65,0.862002909,-0.003043235,0.714620173,0.641039014,0.422670722,,Middle East,7.3,8.5,71.212,1.96,99,98,25,99,99,0.05,20982,1.24,6,5.9,8.4,0,1,76.1
396,United Arab Emirates,0,1,2009,6.866062641,10.97463608,0.885089338,65.04000092,0.848821878,0.016304919,0.338876456,0.718198836,0.287074417,,Middle East,7.6,8.9,75.597,1.76,93,93,27.9,94,93,0.13,34580,7.92,5.1,4.9,9.7,0,1,76.1
90,Colombia,1,2,2013,6.606550694,9.502299309,0.900777876,67.86000061,0.841173172,-0.071502,0.898202121,0.814823985,0.278113931,0.292708308,South America,14.3,16.6,142.829,4.32,91,72,26,91,91,0.2,5867,46.5,2.1,1.9,7.8,0,1,76.1
28,Bahrain,0,1,2011,4.82397604,10.69551754,0.90786773,65.23999786,0.869870365,-0.053820446,0.582522452,0.505992472,0.513719201,,Middle East,7,8.2,70.3255,1.66,99,98,25,99,99,0.05,20774,1.28,6.1,6,8.6,0,1,76.2
6,Albania,0,2,2009,5.485469818,9.241250038,0.833046615,67.31999969,0.525223255,-0.157362878,0.863665402,0.564474463,0.279256523,,Rest of Europe,12.9,14.5,81.5235,5.79,98,98,26,98,98,0.03,3432,2.93,1.5,1.6,9.3,0,1,76.2
48,Bosnia and Herzegovina,0,2,2011,4.994670868,9.321601868,0.725242853,67,0.333312094,-0.034920838,0.924784362,0.551055074,0.325734705,,Rest of Europe,6,6.9,101.667,4.71,88,88,25.4,89,88,0.08,4185,3.66,2.6,2.5,7.2,0,1,76.2
96,Croatia,0,2,2009,5.433319569,10.11674881,0.860663235,67.18000031,0.549258351,-0.273520142,0.958130538,0.557369649,0.272170246,,European Union,4.9,5.7,103.109,11.11,97,98,26.6,96,96,0.02,11871,4.31,1.7,1.6,10.6,1,0,76.2
269,Montenegro,0,2,2012,5.218724251,9.729276657,0.704032779,66.36000061,0.46170637,-0.194115087,0.755059719,0.467812985,0.379281342,0.355399817,Rest of Europe,4.6,5.5,106.849,9.37,90,97,26.2,94,94,0.03,5996,0.62,1.9,1.9,11.2,0,1,76.2
