,Country,Social TF Programs,Wealth-ranking,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Region,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
64,Cameroon,1,3,2012,4.244634151,8.101963997,0.74283731,50.47999954,0.766064227,-0.034745246,0.898028791,0.616639733,0.284447879,0.533314586,Africa,64.2,101.3,356.5925,6.42,85,64,24.1,85,85,1.55,1278,21.49,5.9,5.9,5.7,0,1,56.1
65,Cameroon,1,3,2013,4.271038055,8.123529434,0.760194361,50.91999817,0.794075966,-0.032713655,0.867257416,0.639725685,0.268199235,0.607353866,Africa,61.6,96.7,351.1035,6.56,89,64,24.2,88,89,1.31,1306,22.08,5.8,5.8,5.9,0,1,56.6
210,Chad,0,3,2008,4.632468224,7.355507851,0.570834816,47.84000015,0.526610374,0.063300468,0.943553567,0.569265902,0.225483745,0.348725855,Africa,87.5,155.7,393.0275,0.64,17,64,21.5,30,19,0.77,654,11.18,9.8,9.7,1.8,0,1,49.8
71,Chad,0,3,2009,3.639445066,7.363704205,0.645713627,48.22000122,0.401370287,0.022082413,0.931180775,0.601492822,0.221047014,0.253101557,Africa,85.8,151.7,387.5995,0.67,24,64,21.6,32,24,0.67,659,11.56,9.6,9.5,1.8,0,1,50.3
72,Chad,0,3,2010,3.742871046,7.457431316,0.733713627,48.59999847,0.504612565,0.025472684,0.857664049,0.56018573,0.287240535,0.319014966,Africa,84.1,147.7,382.1715,0.55,39,64,21.6,43,39,0.64,724,11.95,9.4,9.3,1.9,0,1,50.9
73,Chad,0,3,2011,4.393482208,7.424624443,0.81884402,48.97999954,0.540267944,0.031195123,0.876383662,0.578596532,0.289146483,0.394194484,Africa,82.3,143.7,376.7435,0.6,33,64,21.7,40,33,0.56,701,12.36,9.2,9.1,2,0,1,51.4
74,Chad,1,3,2012,4.03297472,7.476016521,0.672866464,49.36000061,0.562908113,-0.033492982,0.884475827,0.498229086,0.315747142,0.30277133,Africa,80.6,139.8,371.3155,0.63,40,64,21.7,51,40,0.54,738,12.78,9,8.9,2.1,0,1,51.9
75,Chad,1,3,2013,3.507663012,7.49794054,0.714144647,49.74000168,0.48821035,-0.044931889,0.881972373,0.437320441,0.314174235,0.309654564,Africa,78.9,135.9,368.599,0.65,39,64,21.8,46,39,0.48,754,13.22,8.8,8.7,2.1,0,1,52.4
390,Ghana,0,3,2008,4.965134621,8.177175522,0.622255147,53.41999817,0.838006318,0.117793247,0.862870395,0.674331009,0.172045439,0.665988922,Africa,50.5,75.3,263.346,1.26,93,56,23.4,92,93,1.07,1319,23.56,7.5,7.4,6.6,0,1,60.2
141,Ghana,0,3,2009,4.197695732,8.199045181,0.633197725,53.86000061,0.75747776,0.003233396,0.889738321,0.713851511,0.197590128,0.681955636,Africa,48.8,72.3,261.2595,1.26,94,55,23.5,94,94,1.06,1348,24.17,7.3,7.2,6.7,0,1,60.6
142,Ghana,1,3,2010,4.606251717,8.250206947,0.73855865,54.29999924,0.891129911,0.071665198,0.874849141,0.693436503,0.184128717,0.747062862,Africa,47,69.1,259.173,1.6,94,55,23.6,94,94,1,1419,24.78,7.1,7,6.7,0,1,61
143,Ghana,1,3,2011,5.608199596,8.357404709,0.724297225,54.74000168,0.851896167,0.008451401,0.790444314,0.657618284,0.209212631,0.683400929,Africa,45.2,65.9,257.0865,1.67,91,58,23.7,91,91,0.93,1580,25.39,6.9,6.8,6.8,0,1,61.4
144,Ghana,1,3,2012,5.057261944,8.422570229,0.68511188,55.18000031,0.679418445,0.037784208,0.897836149,0.709003925,0.152376384,0.576750815,Africa,43.4,62.7,255,1.72,92,52,23.7,91,92,0.88,1686,26,6.7,6.6,6.8,0,1,61.7
145,Ghana,1,3,2013,4.965053082,8.469906807,0.676289201,55.61999893,0.793793738,-0.067691118,0.880178452,0.660169482,0.210818723,0.485888302,Africa,41.8,59.8,251.5445,1.78,90,54,23.8,91,90,0.88,1768,26.61,6.6,6.4,6.9,0,1,62.1
456,India,0,3,2008,5.145833015,8.221504211,0.683593154,56.58000183,0.755839646,-0.07218942,0.891188443,0.572613895,0.259315461,0.616264701,Asia,49.4,64.6,197.9155,1.92,29,33,21.2,69,70,0.12,1093,1200.67,27,27.9,5.2,0,1,65.8
166,India,0,3,2009,4.521517754,8.283079147,0.652852058,56.93999863,0.678643644,-0.02627177,0.894611061,0.638585687,0.300621331,0.698452473,Asia,47.2,61.4,194.7545,2.46,37,34,21.3,73,74,0.11,1162,1217.73,27,27.8,5.3,0,1,66.2
167,India,0,3,2010,4.989277363,8.351133347,0.604809761,57.29999924,0.783060372,0.057497002,0.862548053,0.579225481,0.266502023,0.667365491,Asia,45.1,58.2,191.5935,2.73,38,38,21.4,76,79,0.1,1244,1234.28,27,27.8,5.4,0,1,66.7
168,India,0,3,2011,4.634871483,8.389334679,0.552593112,57.65999985,0.837551653,-0.038207788,0.907793522,0.479759604,0.231594488,0.580353677,Asia,43,55,188.4325,2.95,44,27,21.4,79,82,0.09,1293,1250.29,26.9,27.7,5.4,0,1,67.1
169,India,1,3,2012,4.720146656,8.430147171,0.510574579,58.02000046,0.609320104,0.066842526,0.829614758,0.543506503,0.294841021,0.539206505,Asia,40.9,52,185.272,3.04,73,36,21.5,79,82,0.08,1347,1265.78,26.9,27.6,5.6,0,1,67.5
170,India,1,3,2013,4.427788734,8.480222702,0.552826345,58.38000107,0.740176618,0.083723851,0.832356334,0.608282983,0.330437362,0.532654881,Asia,38.8,49,182.8295,3.03,70,51,21.6,82,83,0.08,1416,1280.84,26.8,27.5,5.8,0,1,67.9
547,Kenya,0,3,2008,4.015274525,8.158353806,0.826555252,52.45999908,0.620295763,-0.019278798,0.909446537,0.733151376,0.148996606,0.505623937,Africa,41.4,63.5,324.2835,1.32,88,28,22.7,88,88,2.33,1255,39.79,8.3,8.2,6,0,1,58.8
211,Kenya,0,3,2009,4.270434856,8.163379669,0.789220333,52.97999954,0.583594739,0.091970138,0.912946522,0.678682506,0.182591587,0.241316408,Africa,40.4,59.9,302.9805,1.17,88,28,22.8,89,88,2.21,1261,40.9,8.2,8.1,6.1,0,1,59.9
212,Kenya,0,3,2010,4.255859375,8.213656425,0.805326462,53.5,0.635457218,0.011133602,0.917921245,0.758244038,0.12320178,0.343885571,Africa,39.3,57.4,281.6775,1.52,90,28,22.8,90,90,2.04,1326,42.03,8.2,8,6.1,0,1,61
213,Kenya,0,3,2011,4.405310154,8.236661911,0.846307576,54.02000046,0.708659172,0.014951093,0.922664165,0.70551306,0.227972493,0.458982378,Africa,38.5,55.5,260.375,1.47,96,28,22.9,97,96,1.8,1357,43.18,8.1,7.9,6.2,0,1,61.9
214,Kenya,1,3,2012,4.547335148,8.254707336,0.83141011,54.54000092,0.627654195,0.058863558,0.911273062,0.667211711,0.19417724,0.40184477,Africa,38.2,54.1,239.072,1.49,94,28,23,94,94,1.69,1382,44.34,8,7.8,6.2,0,1,62.7
215,Kenya,1,3,2013,3.795383215,8.265796661,0.824806035,55.06000137,0.708332241,0.206916451,0.861003399,0.728745103,0.161331311,0.60929203,Africa,37.4,52.3,233.9175,1.53,93,28,23.1,94,87,1.54,1397,45.52,7.9,7.7,6.3,0,1,63.4
574,Lebanon,0,3,2008,4.594851017,9.742753029,0.717357397,65.27999878,0.524062514,0.033044834,0.926725864,0.47536701,0.36541757,0.309518278,Middle East,9.8,11.4,71.4135,1.57,81,65,27,75,81,0.03,7961,4.76,4.7,4.7,7.8,0,1,77.9
221,Lebanon,0,3,2009,5.205998898,9.830089569,0.736411929,65.33999634,0.664733827,0.069068171,0.937024593,0.471758723,0.401288748,0.371836841,Middle East,9.2,10.7,69.5575,1.53,81,75,27,76,81,0.03,8687,4.81,4.7,4.7,7.9,0,1,78.2
222,Lebanon,0,3,2010,5.031899452,9.878139496,0.721424758,65.40000153,0.67763871,0.071231559,0.949062884,0.457453609,0.341205537,,Middle East,8.7,10.2,67.7015,1.37,81,73,27.1,77,81,0.03,9115,4.95,4.7,4.7,7.9,0,1,78.4
223,Lebanon,1,3,2011,5.187571526,9.837735176,0.732914627,65.45999908,0.657106042,0.004141064,0.910560846,0.506424606,0.320167035,,Middle East,8.3,9.7,65.846,1.3,81,70,27.2,79,81,0.03,8754,5.2,4.7,4.7,8,0,1,78.5
224,Lebanon,1,3,2012,4.572566986,9.800305367,0.712611496,65.51999664,0.620627165,-0.007385006,0.855777562,0.442211181,0.338856846,,Middle East,8,9.3,63.99,1.24,81,68,27.3,80,81,0.04,8434,5.54,4.8,4.8,8.1,0,1,78.6
225,Lebanon,1,3,2013,4.983288765,9.772115707,0.708228052,65.58000183,0.654868305,-0.005477655,0.920827806,0.446394682,0.409337312,,Middle East,7.7,9,62.766,1.18,81,65,27.4,81,81,0.04,8201,5.91,4.8,4.8,8.3,0,1,78.7
633,Mali,0,3,2008,4.114664078,7.607024193,0.746600628,50.61999893,0.494840056,-0.01168521,0.917589664,0.717300117,0.16449067,0.316960841,Africa,81.1,140.2,289.566,0.58,74,64,22.4,74,74,0.62,707,14.11,9.2,9,1.9,0,1,54.2
241,Mali,0,3,2009,3.976598501,7.621356964,0.732557058,50.95999908,0.633815944,0.008744554,0.819207728,0.728791058,0.149751499,0.479649901,Africa,78.8,135.1,287.6995,0.57,71,64,22.5,77,73,0.56,717,14.58,9,8.8,1.9,0,1,54.8
242,Mali,0,3,2010,3.762305021,7.641546249,0.750922263,51.29999924,0.749049723,-0.027528271,0.810591161,0.7642169,0.16166617,0.706663907,Africa,76.7,130.3,285.833,0.6,72,64,22.6,77,73,0.52,732,15.05,8.8,8.5,2,0,1,55.3
243,Mali,0,3,2011,4.666832924,7.642725945,0.795505047,51.63999939,0.822847605,-0.10040015,0.726062477,0.751705825,0.13182123,0.707489848,Africa,74.6,125.6,283.9665,0.62,66,64,22.6,72,66,0.46,732,15.51,8.5,8.3,2,0,1,55.7
244,Mali,1,3,2012,4.313016891,7.604798317,0.823435068,51.97999954,0.704219282,-0.087891899,0.786719501,0.647199988,0.109447502,0.486437917,Africa,72.6,121,282.1,0.61,66,64,22.7,65,66,0.42,705,15.98,8.3,8.1,2.1,0,1,56.1
245,Mali,1,3,2013,3.676277161,7.598479271,0.81969142,52.31999969,0.664711058,-0.052895203,0.754807353,0.716894388,0.192900717,0.604514003,Africa,70.6,116.6,277.2635,0.58,69,64,22.8,57,69,0.44,701,16.45,8.1,7.9,2.2,0,1,56.6
649,Mauritania,0,3,2008,4.248075008,8.480745316,0.670252621,56.79999924,0.593264878,-0.016934002,0.840947509,0.747175515,0.176086441,0.432421237,Africa,63.8,101.1,216,0.018,74,64,24.4,73,74,0.24,1462,3.3,9.2,8.9,3.6,0,1,62
251,Mauritania,0,3,2009,4.500431538,8.452671051,0.819333792,57.09999847,0.735071182,0.040320076,0.848293781,0.717251658,0.169828594,0.37321496,Africa,62.5,98.4,214,0.004,64,64,24.5,63,64,0.21,1422,3.39,8.9,8.7,3.7,0,1,62.3
252,Mauritania,1,3,2010,4.772306919,8.449266434,0.856507838,57.40000153,0.66893059,0.056135543,0.72736448,0.73715651,0.128675625,0.493744522,Africa,61.2,95.6,212,0,64,64,24.6,52,64,0.19,1417,3.49,8.7,8.5,3.8,0,1,62.5
253,Mauritania,1,3,2011,4.784804344,8.460693359,0.750276566,57.70000076,0.566920221,0.052993953,0.746937871,0.729369521,0.174862579,0.42903164,Africa,60,93,210,0,75,64,24.6,73,75,0.18,1433,3.6,8.5,8.3,3.9,0,1,62.8
